fecha_venta,sucursal,codigo_articulo,producto,precio_venta,cantidad
2022-03-17,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,8.97,140
2022-03-20,CAGUA,000386,HUEVOS A GRANEL,19.78,292
2022-03-23,BARQUISIMETO,000386,HUEVOS A GRANEL,19.78,111
2022-03-23,SAN BERNARDINO,000386,HUEVOS A GRANEL,19.78,354
2022-03-26,BARQUISIMETO,000386,HUEVOS A GRANEL,20.01,207
2022-03-26,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.01,549
2022-03-28,ACARIGUA,000386,HUEVOS A GRANEL,20.01,100
2022-03-28,GUARENAS,000386,HUEVOS A GRANEL,20.01,234
2022-03-28,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.01,426
2022-03-28,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.11,61
2022-03-29,IPSFA,000386,HUEVOS A GRANEL,20.06,700
2022-03-29,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.13,137
2022-03-31,CAGUA,001973,MARGARINA 500GR MAVESA.,9.15,209
2022-04-01,BARQUISIMETO,000386,HUEVOS A GRANEL,20.1,95
2022-04-01,IPSFA,000386,HUEVOS A GRANEL,20.1,876
2022-04-03,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.22,92
2022-04-03,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.22,250
2022-04-05,IPSFA,001973,MARGARINA 500GR MAVESA.,9.22,436
2022-04-06,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.2878,1
2022-04-06,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.24,160
2022-04-07,BARQUISIMETO,000386,HUEVOS A GRANEL,21.12,84
2022-04-08,CAGUA,001973,MARGARINA 500GR MAVESA.,9.24,264
2022-04-09,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.24,168
2022-04-10,ACARIGUA,000386,HUEVOS A GRANEL,21.17,128
2022-04-12,ACARIGUA,000386,HUEVOS A GRANEL,21.17,106
2022-04-14,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.48,242
2022-04-14,IPSFA,001973,MARGARINA 500GR MAVESA.,10.48,293
2022-04-15,CAGUA,000386,HUEVOS A GRANEL,21.27,273
2022-04-17,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.48,31
2022-04-18,IPSFA,000386,HUEVOS A GRANEL,21.27,676
2022-04-19,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.48,23
2022-04-19,IPSFA,001973,MARGARINA 500GR MAVESA.,10.48,261
2022-04-20,GUARENAS,000386,HUEVOS A GRANEL,21.27,263
2022-04-21,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.48,125
2022-04-22,BARQUISIMETO,000386,HUEVOS A GRANEL,21.27,110
2022-04-22,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.27,559
2022-04-24,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.27,138
2022-04-24,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.2676,1
2022-04-28,GUARENAS,000386,HUEVOS A GRANEL,21.41,236
2022-04-28,IPSFA,000386,HUEVOS A GRANEL,21.41,628
2022-04-28,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.55,170
2022-04-28,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.55,65
2022-04-29,MATURIN PLAZA,001973,MARGARINA 500GR MAVESA.,10.73,33
2022-04-30,CAGUA,001973,MARGARINA 500GR MAVESA.,10.76,271
2022-05-01,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.56,109
2022-05-03,IPSFA,001973,MARGARINA 500GR MAVESA.,10.78,71
2022-05-04,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.65,67
2022-05-05,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.69,40
2022-05-06,GUARENAS,000386,HUEVOS A GRANEL,21.84,461
